Date,Total Index,Energy,Non-energy **,Agriculture **,Beverages,Food **,Oils & Meals,Grains,Other Food **,Raw Materials,Timber,Other Raw Mat.,Fertilizers **,Metals  & Minerals,Base Metals (ex. iron ore),Precious Metals
01/02/2014,122.0227365,133.9665506,97.9066585,103.2064389,94.55195872,108.2872771,113.1229067,111.3087875,99.19064337,95.26286006,106.0378982,83.47948457,105.6094279,86.16332399,86.85029122,105.000744
01/03/2014,120.4567472,130.6676198,99.94557689,108.0715744,103.2301199,113.8253233,119.2784527,115.6347676,105.0134058,96.55426129,106.2910054,85.90634426,102.598598,82.97936174,84.44608067,107.2837398
01/04/2014,120.4596013,130.6783308,99.96721066,107.3121322,106.1334202,112.3142293,116.437019,114.1846538,105.1973038,95.75856756,106.8646767,83.61313911,94.90837908,85.47825516,87.08792179,103.9295554
01/05/2014,121.4330012,132.3273009,99.52664265,106.8779483,105.0719419,112.05183,114.2607026,113.7718231,107.5890057,95.22598971,107.547366,81.75156842,96.03112235,84.84713666,88.54459413,102.9955141
01/06/2014,122.2853248,134.3237169,98.05643469,104.6555556,103.1416999,108.9999659,110.507163,107.3513316,108.5093585,94.870298,107.7864389,80.74545351,99.49879506,84.35901481,89.18878426,102.8927099
01/07/2014,117.9965007,127.9473337,97.97302476,102.6082979,104.2819587,105.682816,104.6669964,101.1204099,111.1488622,94.28753123,108.7150429,78.50988064,100.4839511,88.18183044,93.37321898,105.9417338
01/08/2014,113.9468596,122.3902044,96.87935258,100.9403144,106.8647956,103.8009815,100.814229,98.77210182,112.2822029,90.97764723,106.5726814,73.92321639,101.4351441,88.03385374,93.73843253,103.7512691
01/09/2014,109.6808602,117.4372363,93.96211499,97.80941537,104.8510814,100.2667996,95.60462727,92.49016055,113.439315,88.25848213,103.6932461,71.37931966,102.786834,85.07021667,91.71691583,98.56926329
01/10/2014,102.1860427,106.773111,92.88678357,97.3063179,106.817474,99.54437528,94.83689996,92.61551606,112.0091275,87.03256237,102.3256156,70.30837207,103.5271458,82.61522827,88.90153577,96.34013077
01/11/2014,95.84268698,97.30346208,92.85520138,97.15030367,101.4307151,101.2150573,97.55026047,96.96712885,109.881436,85.09821025,99.32051787,69.54496685,103.3496933,82.85539367,90.36569811,92.11534293
01/12/2014,83.35478872,79.79521569,90.59340371,95.71204023,99.0191852,99.68713212,95.61916605,98.42625307,106.1802051,84.3726742,98.07513017,69.38793062,101.7810406,78.82598352,86.25063939,94.04505041
01/01/2015,71.60960754,63.749081,87.68373984,93.67050318,97.13813889,97.14897389,92.54441923,95.37615859,104.8113565,83.45610381,95.9020618,69.84544237,101.3621894,73.85319469,80.14737795,98.16847901
01/02/2015,77.76117072,73.76619467,86.13774517,91.98947356,94.72273531,94.28580891,90.10150486,93.80247222,100.2281468,85.02056433,96.63616107,72.31797006,101.6990527,72.37040325,79.19323494,96.15093913
01/03/2015,75.48991331,71.14510518,84.50289627,89.8012957,89.35624116,92.4303375,87.81640497,92.61776643,98.33075217,83.64017079,94.64095343,71.60992545,100.8843097,71.77724587,79.21122267,92.44039416
01/04/2015,76.87452434,73.35885199,84.18618286,89.45432907,91.19571591,91.46678526,85.46003913,90.69579352,100.0670878,83.67947299,94.56347426,71.77693753,95.15832025,72.13660555,80.57367286,93.85047231
01/05/2015,81.05676887,79.25739761,84.87115397,89.27827767,93.81989437,89.67462332,85.4198263,87.3521976,97.37434377,86.00600057,96.95452443,74.03290443,95.40725273,74.63688614,82.37703495,94.2714127
01/06/2015,78.91434993,76.68485816,83.55057578,89.0842107,96.74816677,88.89722505,85.9951113,86.33101195,95.03802557,85.64152174,96.97102134,73.25179783,100.1885933,70.31336858,76.6771474,92.36619815
01/07/2015,74.02456059,69.97397857,82.31333421,89.42246342,97.00381705,89.91972027,86.79556053,88.85496584,94.99360539,84.35936491,97.05518777,70.47545603,99.8091767,65.74767693,72.68204724,87.8655202
01/08/2015,66.38047168,60.2653079,78.81375139,85.60770608,94.43375897,84.67843517,80.85942192,81.64176946,92.45133161,83.37754199,97.26462511,68.19089369,98.43518872,62.65317939,68.26260584,87.04970762
01/09/2015,66.13432468,60.309279,77.95745994,83.85633136,92.32223967,82.89045163,79.3893331,80.50878707,89.65225645,81.89823773,96.52962236,65.89763555,99.6065203,63.4023901,69.06485786,87.26457696
01/10/2015,66.29629192,60.50797016,78.02249701,84.76387785,93.31425298,84.23859994,81.38384155,82.9592758,89.15227878,81.6923638,96.46905875,65.53285303,95.46877238,62.2166566,68.21386932,90.47880117
01/11/2015,62.51979723,55.87089747,75.98872097,83.70331213,93.89826678,82.90603993,78.29562207,82.03001897,89.76440714,80.45638691,95.3971121,64.11749581,96.55748795,57.83254253,63.80827108,84.38866044
